Heat codes
- 10: 14010064FF00FFFF0000
- 10.5: 14010069FF00FFFF0000
- 11: 1401006EFF00FFFF0000
- 11.5: 14010073FF00FFFF0000
- 12: 14010078FF00FFFF0000
- 12.5: 1401007DFF00FFFF0000
- 13: 14010082FF00FFFF0000
- 13.5: 14010087FF00FFFF0000
- 14: 1401008CFF00FFFF0000
- 14.5: 14010091FF00FFFF0000
- 15: 14010096FF00FFFF0000
- 15.5: 1401009BFF00FFFF0000
- 16: 140100A0FF00FFFF0000
- 16.5: 140100A5FF00FFFF0000
- 17: 140100AAFF00FFFF0000
- 17.5: 140100AFFF00FFFF0000
- 18: 140100B4FF00FFFF0000
- 18.5: 140100B9FF00FFFF0000
- 19: 140100BEFF00FFFF0000
- 19.5: 140100C3FF00FFFF0000
- 20: 140100C8FF00FFFF0000
- 20.5: 140100CDFF00FFFF0000
- 21: 140100D2FF00FFFF0000
- 21.5: 140100D7FF00FFFF0000
- 22: 140100DCFF00FFFF0000
- 22.5: 140100E1FF00FFFF0000
- 23: 140100E6FF00FFFF0000
- 23.5: 140100EBFF00FFFF0000
- 24: 140100F0FF00FFFF0000
- 24.5: 140100F5FF00FFFF0000
- 25: 140100FAFF00FFFF0000
- 25.5: 140100FFFF00FFFF0000
- 26: 14010104FF00FFFF0000
- 26.5: 14010109FF00FFFF0000
- 27: 1401010EFF00FFFF0000
- 27.5: 14010113FF00FFFF0000
- 28: 14010118FF00FFFF0000
- 28.5: 1401011DFF00FFFF0000
- 29: 14010122FF00FFFF0000
- 29.5: 14010127FF00FFFF0000
- 30: 1401012CFF00FFFF0000

cold codes
- 10: 14000064FF00FFFF0000
- 10.5: 14000069FF00FFFF0000
- 11: 1400006EFF00FFFF0000
- 11.5: 14000073FF00FFFF0000
- 12: 14000078FF00FFFF0000
- 12.5: 1400007DFF00FFFF0000
- 13: 14000082FF00FFFF0000
- 13.5: 14000087FF00FFFF0000
- 14: 1400008CFF00FFFF0000
- 14.5: 14000091FF00FFFF0000
- 15: 14000096FF00FFFF0000
- 15.5: 1400009BFF00FFFF0000
- 16: 140000A0FF00FFFF0000
- 16.5: 140000A5FF00FFFF0000
- 17: 140000AAFF00FFFF0000
- 17.5: 140000AFFF00FFFF0000
- 18: 140000B4FF00FFFF0000
- 18.5: 140000B9FF00FFFF0000
- 19: 140000BEFF00FFFF0000
- 19.5: 140000C3FF00FFFF0000
- 20: 140000C8FF00FFFF0000
- 20.5: 140000CDFF00FFFF0000
- 21: 140000D2FF00FFFF0000
- 21.5: 140000D7FF00FFFF0000
- 22: 140000DCFF00FFFF0000
- 22.5: 140000E1FF00FFFF0000
- 23: 140000E6FF00FFFF0000
- 23.5: 140000EBFF00FFFF0000
- 24: 140000F0FF00FFFF0000
- 24.5: 140000F5FF00FFFF0000
- 25: 140000FAFF00FFFF0000
- 25.5: 140000FFFF00FFFF0000
- 26: 14000104FF00FFFF0000
- 26.5: 14000109FF00FFFF0000
- 27: 1400010EFF00FFFF0000
- 27.5: 14000113FF00FFFF0000
- 28: 14000118FF00FFFF0000
- 28.5: 1400011DFF00FFFF0000
- 29: 14000122FF00FFFF0000
- 29.5: 14000127FF00FFFF0000
- 30: 1400012CFF00FFFF0000

Fan codes
- 1: 14030000FF00FFFF0000
- 1.5: 19030000FF00FFFF0000
- 2: 1E030000FF00FFFF0000
- 2.5: 23030000FF00FFFF0000
- 3: 28030000FF00FFFF0000
- 3.5: 2D030000FF00FFFF0000
- 4: 32030000FF00FFFF0000
- 4.5: 37030000FF00FFFF0000
- 5: 3C030000FF00FFFF0000
- 5.5: 41030000FF00FFFF0000
- 6: 46030000FF00FFFF0000
- 6.5: 4B030000FF00FFFF0000
- 7: 50030000FF00FFFF0000
- 7.5: 55030000FF00FFFF0000
- 8: 5A030000FF00FFFF0000
- 8.5: 5F030000FF00FFFF0000
- 9: 64030000FF00FFFF0000
- 9.5: 69030000FF00FFFF0000
- 10: 6E030000FF00FFFF0000

night mode:
- on : 14030000FF00FFFF0002
- off: 14030000FF00FFFF0000

off:
- off: 04040000FF00FFFF0000
